iso_alpha3,country,population,whostandard,natstandard,pm2021,aq_monitoring,open_data,aq_standard,number_of_locations,monitor_density,aq_mon_dummy,open_data_dummy,aq_std_dummy,pm_dummy,pop_dummy,num_loc_dummy,mon_dens_dummy,opportunity_score
COG,Republic of the Congo,5459096,5,NA,32.41,N,N,N,0,0,1,1,1,1,1,1,1,7
PRK,North Korea,25666964,5,NA,20,N,N,N,0,0,1,1,1,1,1,1,1,7
SYR,Syria,20154763,5,NA,19.68,N,N,N,0,0,1,1,1,1,1,1,1,7
BEN,Benin,13275471,5,NA,17.42,N,N,N,1,7.532689423975992e-8,1,1,1,1,1,1,1,7
MWI,Malawi,19970408,5,NA,16.16,N,N,N,0,0,1,1,1,1,1,1,1,7
YEM,Yemen,30314666,5,NA,14.75,N,N,N,0,0,1,1,1,1,1,1,1,7
ZWE,Zimbabwe,14804978,5,NA,14.36,N,N,N,1,6.754484876640816e-8,1,1,1,1,1,1,1,7
NIC,Nicaragua,6218420,5,NA,13.56,N,N,N,0,0,1,1,1,1,1,1,1,7
ERI,Eritrea,6087587,5,NA,12.95,N,N,N,0,0,1,1,1,1,1,1,1,7
SLE,Sierra Leone,6739524,5,NA,11.63,N,N,N,0,0,1,1,1,1,1,1,1,7
GIN,Guinea,12795452,5,NA,11.2,N,N,N,1,7.815276865561294e-8,1,1,1,1,1,1,1,7
COD,Democratic Republic of the Congo,104994937,5,NA,34.64,N,N,N,5,4.7621343874895607e-8,1,1,1,1,1,0,1,6
BTN,Bhutan,858187,5,NA,30.59,N,N,N,0,0,1,1,1,1,0,1,1,6
GNQ,Equatorial Guinea,839050,5,NA,29.06,N,N,N,0,0,1,1,1,1,0,1,1,6
LSO,Lesotho,2176476,5,NA,23.11,N,N,N,0,0,1,1,1,1,0,1,1,6
KHM,Cambodia,17297449,5,NA,19.84,Y,N,N,0,0,0,1,1,1,1,1,1,6
DJI,Djibouti,921088,5,NA,17.44,N,N,N,0,0,1,1,1,1,0,1,1,6
IRN,Iran,85723033,5,NA,16.62,Y,N,N,0,0,0,1,1,1,1,1,1,6
SSD,South Sudan,11007070,5,NA,16.04,N,N,N,1,9.085069868729826e-8,1,1,1,1,1,1,0,6
SWZ,Swaziland,1118655,5,NA,15.9,N,N,N,0,0,1,1,1,1,0,1,1,6
PNG,Papua New Guinea,7193016,5,NA,12.86,N,N,N,1,1.3902374191854987e-7,1,1,1,1,1,1,0,6
BWA,Botswana,2350003,5,NA,12.85,N,N,N,0,0,1,1,1,1,0,1,1,6
BLR,Belarus,9439125,5,NA,12.75,Y,N,N,0,0,0,1,1,1,1,1,1,6
SDN,Sudan,46712136,5,NA,11.37,N,N,N,3,6.422313892903548e-8,1,1,1,1,1,0,1,6
VAT,Vatican City,1000,5,NA,11.34,N,N,N,0,0,1,1,1,1,0,1,1,6
XAD,Akrotiri and Dhekelia,24378,5,NA,11.15,N,N,N,0,0,1,1,1,1,0,1,1,6
STP,São Tomé and Príncipe,198918,5,NA,11.1,N,N,N,0,0,1,1,1,1,0,1,1,6
SMR,San Marino,34954,5,NA,10.95,N,N,N,0,0,1,1,1,1,0,1,1,6
VEN,Venezuela,28877978,5,NA,10.82,N,N,N,1,3.462846325320976e-8,1,1,1,0,1,1,1,6
HTI,Haiti,11010430,5,NA,10.09,N,N,N,0,0,1,1,1,0,1,1,1,6
SOM,Somalia,12035043,5,NA,9.16,N,N,N,0,0,1,1,1,0,1,1,1,6
BFA,Burkina Faso,21364329,5,NA,8.52,N,N,N,1,4.68069930958281e-8,1,1,1,0,1,1,1,6
MLI,Mali,20119024,5,NA,6.79,N,N,N,1,4.97042003628009e-8,1,1,1,0,1,1,1,6
BDI,Burundi,12242276,5,NA,31.91,N,N,N,2,1.6336831484603026e-7,1,1,1,1,1,0,0,5
CMR,Cameroon,28568738,5,NA,30.98,N,N,N,10,3.500329626040884e-7,1,1,1,1,1,0,0,5
LAO,Laos,7594304,5,NA,27.16,N,N,N,35,4.608717270206723e-6,1,1,1,1,1,0,0,5
CAF,Central African Republic,5395752,5,NA,25.57,N,N,N,2,3.706619577771551e-7,1,1,1,1,1,0,0,5
HND,Honduras,9310136,5,NA,25.14,N,N,N,5,5.370490828490583e-7,1,1,1,1,1,0,0,5
ZMB,Zambia,19089070,5,NA,18.5,N,N,N,3,1.571579966965389e-7,1,1,1,1,1,0,0,5
BHR,Bahrain,1367240,5,NA,17.92,Y,N,N,0,0,0,1,1,1,0,1,1,5
AFG,Afghanistan,37461801,5,35,16.9,N,N,Y,3,8.00815742948397e-8,1,1,0,1,1,0,1,5
AGO,Angola,33430596,5,NA,16.89,N,N,N,3,8.973815483277654e-8,1,1,1,1,1,0,0,5
LBN,Lebanon,6052932,5,NA,16.81,N,N,N,39,6.443158456100283e-6,1,1,1,1,1,0,0,5
TZA,Tanzania,61738595,5,NA,16.38,N,N,N,13,2.1056520641585706e-7,1,1,1,1,1,0,0,5
TGO,Togo,8279448,5,NA,15.4,N,N,N,11,1.3285909881914832e-6,1,1,1,1,1,0,0,5
PRY,Paraguay,7260580,5,15,13.69,Y,N,Y,0,0,0,1,0,1,1,1,1,5
SGP,Singapore,5842829,5,NA,13.01,Y,N,Y,0,0,0,1,0,1,1,1,1,5
MOZ,Mozambique,30804884,5,NA,12.41,N,N,N,7,2.2723669402553178e-7,1,1,1,1,1,0,0,5
ZNC,Northern Cyprus,427552,5,NA,12.25,N,N,N,1,2.338896789162488e-6,1,1,1,1,0,1,0,5
OMN,Oman,3604932,5,NA,12.12,Y,N,N,0,0,0,1,1,1,0,1,1,5
TCD,Chad,17452358,5,NA,11.14,N,N,N,2,1.1459769505072037e-7,1,1,1,1,1,0,0,5
LIE,Liechtenstein,38969,5,NA,11.08,Y,N,N,0,0,0,1,1,1,0,1,1,5
GIB,Gibraltar,24797,5,NA,9.7,N,N,N,0,0,1,1,1,0,0,1,1,5
TUN,Tunisia,11718498,5,NA,8.62,Y,N,N,0,0,0,1,1,0,1,1,1,5
GNB,Guinea-Bissau,1900902,5,NA,8.57,N,N,N,0,0,1,1,1,0,0,1,1,5
