iso,datetime,count
SM,1/1/23,1
,,
SM,1/1/24,1
,,
TH,1/1/16,46
,,
TH,1/1/17,44
,,
TH,1/1/18,46
,,
TH,1/1/19,47
,,
TH,1/1/20,46
,,
TH,1/1/21,151
,,
TH,1/1/22,191
,,
TH,1/1/23,202
,,
TH,1/1/24,193
,,
TR,1/1/16,114
,,
TR,1/1/17,134
,,
TR,1/1/18,118
,,
TR,1/1/21,101
,,
TR,1/1/22,316
,,
TR,1/1/23,360
,,
TT,1/1/23,5
,,
TT,1/1/24,7
,,
TW,1/1/16,59
,,
TW,1/1/17,69
,,
TW,1/1/18,68
,,
TW,1/1/19,67
,,
TW,1/1/20,67
,,
TW,1/1/21,67
,,
TW,1/1/24,83
,,
VN,1/1/16,2
,,
VN,1/1/17,1
,,
VN,1/1/18,1
,,
VN,1/1/19,2
,,
VN,1/1/20,2
,,
VN,1/1/21,1
,,
VN,1/1/22,1
,,
VN,1/1/23,1
,,
VN,1/1/24,35
,,
XK,1/1/19,7
,,
XK,1/1/20,10
,,
XK,1/1/23,13
,,
XK,1/1/24,17
,,
ZA,1/1/16,1
,,
ZA,1/1/17,3
,,
ZA,1/1/18,4
,,
ZA,1/1/19,5
,,
ZA,1/1/20,4
,,
ZA,1/1/21,142
,,
ZA,1/1/22,154
,,
ZA,1/1/23,173
,,
ZA,1/1/24,149
