"iso_alpha3","country","population","pm2021","aq_monitoring","open_data","aq_standard","tot_monitor","govt","other","monitor_density","Funding in USD million","pm_qtile","pop_qtile","monitor_dens_qtile","gbd_dummy","registry","Income.classification","aq_mon_dummy","open_data_dummy","aq_std_dummy","num_loc_dummy","govt_dummy","other_dummy","funding_dummy","pm_quintile","pop_quintile","mon_dens_quintile","opportunity_score","bands"
"LBY","Libya",7001233,6.78,"N","N","N",1,NA,1,0.142831984023386,0.557172,1,2,1,0,0,NA,1,1,1,2,1,1,0,0.4,0.8,0.2,8.4,"Medium-high"
"BGD","Bangladesh",164804810,73.96,"Y","N","Y",48,4,44,0.291253635133586,1052.46820617324,5,5,2,1,1,NA,0,1,0,0,1,0,0,2,2,0.4,8.4,"Medium-high"
"OMN","Oman",3604932,12.12,"Y","N","N",NA,NA,NA,NA,NA,2,1,NA,0,0,"High Income",0,1,1,2,1,1,0,0.8,0.4,1,8.2,"Medium-high"
"DZA","Algeria",43480294,6.15,"Y","N","N",1,1,NA,0.0229989245242914,0.317866,1,4,1,0,0,NA,0,1,1,2,1,1,0,0.4,1.6,0.2,8.2,"Medium-high"
"PAK","Pakistan",238039784,44.73,"Y","N","Y",30,5,25,0.126029353143759,19.145064,5,5,1,1,1,NA,0,1,0,0,1,0,0,2,2,0.2,8.2,"Medium-high"
"MDA","Moldova",3329201,14.69,"Y","N","Y",2,2,NA,0.600744743258217,0,3,1,2,0,0,NA,0,1,0,2,1,1,1,1.2,0.4,0.4,8,"Medium"
"ECU","Ecuador",17062470,16.01,"Y","N","Y",17,8,9,0.996338748141389,1.315395,3,3,3,0,0,NA,0,1,0,2,1,1,0,1.2,1.2,0.6,8,"Medium"
"IDN","Indonesia",271983396,18.76,"Y","N","Y",70,6,64,0.257368652018743,0.150333726272352,4,5,2,1,1,NA,0,1,0,0,1,0,0,1.6,2,0.4,8,"Medium"
"PAN","Panama",3887799,9.07,"N","N","Y",5,NA,5,1.28607471734007,NA,1,2,3,0,0,"High Income",1,1,0,2,1,1,0,0.4,0.8,0.6,7.8,"Medium"
"MKD","Macedonia",2120037,22.89,"Y","Y","N",18,16,2,8.49041785591478,26.5306113282876,4,1,4,1,0,NA,0,0,1,2,0,1,0,1.6,0.4,0.8,7.8,"Medium"
"URY","Uruguay",3380971,8.41,"Y","N","N",NA,NA,NA,NA,NA,1,1,NA,0,0,"High Income",0,1,1,2,1,1,0,0.4,0.4,1,7.8,"Medium"
"LBN","Lebanon",6052932,16.81,"N","N","N",39,NA,39,6.44315845610028,5.347587,3,2,4,1,0,NA,1,1,1,0,1,0,0,1.2,0.8,0.8,7.8,"Medium"
"DOM","Dominican Republic",10530269,7.87,"Y","N","Y",1,NA,1,0.0949643356689178,0,1,3,1,0,0,NA,0,1,0,2,1,1,1,0.4,1.2,0.2,7.8,"Medium"
"GHA","Ghana",32327350,13.12,"Y","N","N",108,2,106,3.34082441029036,20.7373508271335,3,4,4,0,1,NA,0,1,1,0,1,0,0,1.2,1.6,0.8,7.6,"Medium"
"JAM","Jamaica",2782704,13.02,"Y","N","Y",1,NA,1,0.359362691827805,NA,2,1,2,0,0,NA,0,1,0,2,1,1,1,0.8,0.4,0.4,7.6,"Medium"
"GEO","Georgia",4925584,14.5,"Y","Y","Y",10,NA,10,2.03021611244474,3.3811750166144,3,2,3,1,0,NA,0,0,0,2,1,1,0,1.2,0.8,0.6,7.6,"Medium"
"IND","India",1338260837,58.7,"Y","N","Y",1031,419,612,0.770402877746321,7.23828251031637,5,5,3,1,1,NA,0,1,0,0,0,0,0,2,2,0.6,7.6,"Medium"
"LVA","Latvia",1858752,14.06,"Y","Y","Y",9,7,2,4.84195847536412,NA,3,1,4,1,0,"High Income",0,0,0,2,1,1,0,1.2,0.4,0.8,7.4,"Medium"
"MYS","Malaysia",33265680,13.74,"Y","N","N",31,10,21,0.931891366717891,NA,3,4,3,0,0,NA,0,1,1,0,1,0,1,1.2,1.6,0.6,7.4,"Medium"
"VNM","Vietnam",102577688,25.8,"Y","N","Y",51,6,45,0.497184143982656,0.79664101325,5,5,2,1,0,NA,0,1,0,0,1,0,0,2,2,0.4,7.4,"Medium"
"PER","Peru",32136270,24.25,"Y","N","Y",128,14,114,3.98303847957464,0.598264,5,4,4,1,1,NA,0,1,0,0,0,0,0,2,1.6,0.8,7.4,"Medium"
"ZAF","South Africa",56955067,21.06,"Y","N","Y",221,169,52,3.88025177812538,0.122796107290234,4,5,4,1,1,NA,0,1,0,0,0,0,0,1.6,2,0.8,7.4,"Medium"
"BRA","Brazil",213107172,11.07,"Y","N","N",257,74,183,1.20596598222419,0.0869823356258597,2,5,3,0,1,NA,0,1,1,0,0,0,1,0.8,2,0.6,7.4,"Medium"
"UKR","Ukraine",43666672,14.58,"Y","N","Y",11,NA,11,0.251908366179131,10.2121280945,3,4,2,0,0,NA,0,1,0,2,1,0,0,1.2,1.6,0.4,7.2,"Medium"
"SEN","Senegal",15919888,5.68,"Y","N","N",12,NA,12,0.753774147154804,116.084816,1,3,3,0,0,NA,0,1,1,2,1,0,0,0.4,1.2,0.6,7.2,"Medium"
"XKO","Kosovo",1930871,20.79,"Y","N","N",28,19,9,14.5012276842938,0,4,1,5,0,0,NA,0,1,1,0,0,1,1,1.6,0.4,1,7,"Medium"
"PHL","Philippines",108032572,18.34,"Y","N","Y",27,NA,27,0.249924624584519,3.315006,4,5,2,1,0,NA,0,1,0,0,1,0,0,1.6,2,0.4,7,"Medium"
"MDG","Madagascar",27430097,9.93,"Y","Y","N",16,1,15,0.583300890259338,0.178483,2,4,2,0,0,NA,0,0,1,2,1,0,0,0.8,1.6,0.4,6.8,"Medium"
"HRV","Croatia",4147707,14.86,"Y","Y","Y",19,15,4,4.58084430746916,NA,3,2,4,1,0,"High Income",0,0,0,2,0,1,0,1.2,0.8,0.8,6.8,"Medium"
