"name","ismonitor","min","max","count"
"Myanmar",False,"2021-01-14T01:18:35+00:00","2023-10-03T14:29:03+00:00","15"
"Myanmar",True,"2016-01-30T01:00:00+00:00","2023-10-03T16:00:00+00:00","4"
"Namibia",False,"2022-03-03T11:07:06+00:00","2023-08-23T22:17:34+00:00","2"
"N. Cyprus",False,"2021-03-19T11:34:24+00:00","2022-10-21T08:00:52+00:00","1"
"Nepal",True,"2017-03-02T23:15:00+00:00","2023-10-03T15:00:00+00:00","3"
"Nepal",False,"2019-03-15T22:10:30+00:00","2023-10-03T14:29:05+00:00","88"
"Netherlands",True,"2016-01-30T01:00:00+00:00","2023-10-03T14:00:00+00:00","88"
"Netherlands",False,"2021-01-13T21:56:42+00:00","2023-10-03T14:29:03+00:00","26"
"New Zealand",True,"2023-03-31T15:00:00+00:00","2023-10-03T08:00:00+00:00","10"
"New Zealand",False,"2021-01-13T21:55:39+00:00","2023-10-03T14:28:58+00:00","53"
"Niger",False,"2023-04-18T12:49:09+00:00","2023-10-03T14:27:32+00:00","4"
"Nigeria",False,"2021-01-14T01:18:27+00:00","2023-10-03T14:28:59+00:00","57"
"Nigeria",True,"2019-04-26T08:00:00+00:00","2023-10-03T12:00:00+00:00","3"
"Norway",True,"2016-12-02T10:00:00+00:00","2023-10-03T10:00:00+00:00","82"
"Norway",False,"2021-01-14T01:18:28+00:00","2023-10-03T14:28:30+00:00","12"
"Pakistan",True,"2019-05-22T22:00:00+00:00","2023-10-03T15:00:00+00:00","5"
"Pakistan",False,"2020-01-22T18:02:48+00:00","2023-10-03T14:28:36+00:00","25"
"Palestine",False,"2022-01-13T14:54:24+00:00","2023-10-03T14:27:20+00:00","2"
"Palestine",True,"2017-08-10T23:00:00+00:00","2019-04-03T21:00:00+00:00","11"
"Panama",False,"2022-11-08T16:17:24+00:00","2023-10-03T14:27:46+00:00","5"
"Papua New Guinea",False,"2021-02-09T00:08:18+00:00","2023-07-15T22:26:01+00:00","1"
"Peru",True,"2016-03-04T17:00:00+00:00","2023-10-03T10:00:00+00:00","14"
"Peru",False,"2019-08-06T16:53:54+00:00","2023-10-03T14:29:03+00:00","114"
"Philippines",False,"2021-01-14T01:18:19+00:00","2023-10-03T14:29:04+00:00","27"
"Poland",True,"2016-01-30T01:00:00+00:00","2023-10-03T10:00:00+00:00","311"
"Poland",False,"2021-01-14T01:18:23+00:00","2023-10-03T14:29:02+00:00","11"
"Portugal",False,"2021-01-11T20:37:33+00:00","2023-10-03T14:29:04+00:00","10"
"Portugal",True,"2017-05-11T08:00:00+00:00","2023-10-03T12:00:00+00:00","63"
"Puerto Rico",False,"2020-11-07T00:00:39+00:00","2023-10-03T14:29:06+00:00","26"
"Puerto Rico",True,"2016-05-04T11:00:00+00:00","2023-09-18T19:00:00+00:00","5"
"Qatar",False,"2020-03-07T09:18:40+00:00","2023-10-03T14:28:52+00:00","5"
"Qatar",True,"2022-04-11T14:00:00+00:00","2023-10-03T12:00:00+00:00","1"
"Romania",False,"2021-01-13T21:56:27+00:00","2023-10-03T14:29:01+00:00","47"
"Romania",True,"2020-04-19T21:00:00+00:00","2023-10-03T13:00:00+00:00","127"
"Russia",False,"2021-01-14T01:18:51+00:00","2023-10-03T14:26:05+00:00","11"
"Russia",True,"2016-11-21T11:00:00+00:00","2023-10-03T13:00:00+00:00","53"
"Rwanda",False,"2021-04-28T18:16:51+00:00","2023-10-03T14:27:29+00:00","4"
"Rwanda",True,"2020-12-28T22:45:00+00:00","2023-09-15T14:00:00+00:00","2"
"Saudi Arabia",False,"2021-01-14T01:18:54+00:00","2023-10-03T14:28:41+00:00","4"
"Saudi Arabia",True,"2019-07-15T19:00:00+00:00","2023-10-02T13:00:00+00:00","4"
"Senegal",False,"2019-09-19T13:26:31+00:00","2023-09-11T12:00:00+00:00","12"
"Serbia",True,"2017-09-22T09:00:00+00:00","2023-10-03T13:00:00+00:00","74"
"Serbia",False,"2021-01-14T01:19:12+00:00","2023-10-03T14:28:01+00:00","11"
"Slovakia",False,"2022-01-07T09:30:21+00:00","2023-10-03T14:25:09+00:00","1"
"Slovakia",True,"2016-11-18T05:00:00+00:00","2023-10-03T13:00:00+00:00","39"
"Slovenia",False,"2021-01-20T00:00:02+00:00","2023-10-03T14:28:47+00:00","4"
"Slovenia",True,"2016-11-17T22:00:00+00:00","2023-10-03T13:00:00+00:00","19"
"South Africa",True,"2016-02-14T08:00:00+00:00","2023-10-03T14:00:00+00:00","169"
"South Africa",False,"2019-11-08T19:31:13+00:00","2023-10-03T14:28:53+00:00","52"
"South Korea",True,"2020-10-12T06:00:00+00:00","2023-01-06T13:00:00+00:00","2"
